grupo,nome,descricao,sku,preco,estoque,tamanho,cor,peso,marca,categorias,tags,imagens
MLT-001,Moletom Canguru Oversized,Moletom canguru de modelagem oversized com drop shoulder. Estampa central no peito (20 cm) e estampa deslocada à direita nas costas (15 cm). Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA no punho esquerdo. Coleção AW 2026.,BVBA-MLT-001-P,,,P,Marrom Café,0.75,BVBA,Moletons|AW 2026,aw2026|drop2|oversized,
MLT-001,Moletom Canguru Oversized,,BVBA-MLT-001-M,,,M,Marrom Café,0.80,BVBA,,,
MLT-001,Moletom Canguru Oversized,,BVBA-MLT-001-G,,,G,Marrom Café,0.86,BVBA,,,
MLT-001,Moletom Canguru Oversized,,BVBA-MLT-001-GG,,,GG,Marrom Café,0.92,BVBA,,,
MLT-001,Moletom Canguru Oversized,,BVBA-MLT-001-XGG,,,XGG,Marrom Café,1.00,BVBA,,,
CJW-002,Calça Jeans Oversized Wide Conversível,"Calça jeans de modelagem oversized wide leg com zíper divisório que converte a peça em jorts. Etiqueta interna de tamanho BVBA na cintura, etiqueta clipes BVBA na aba do bolso cargo direito, couro BVBA na cintura traseira, etiqueta emborrachada com logo BVBA na lateral esquerda e logo gato BVBA costurado nos dois bolsos traseiros. Coleção AW 2026.",BVBA-CJW-002-P,,,P,Preto,0.80,BVBA,Calças|AW 2026,aw2026|drop2|oversized,
CJW-002,Calça Jeans Oversized Wide Conversível,,BVBA-CJW-002-M,,,M,Preto,0.85,BVBA,,,
CJW-002,Calça Jeans Oversized Wide Conversível,,BVBA-CJW-002-G,,,G,Preto,0.90,BVBA,,,
CJW-002,Calça Jeans Oversized Wide Conversível,,BVBA-CJW-002-GG,,,GG,Preto,0.96,BVBA,,,
CJW-002,Calça Jeans Oversized Wide Conversível,,BVBA-CJW-002-XGG,,,XGG,Preto,1.02,BVBA,,,
JRT-003,Jorts Jeans Oversized Wide,"Jorts jeans de modelagem oversized wide leg, com a mesma modelagem e os mesmos aviamentos da calça. Etiqueta interna de tamanho BVBA na cintura, etiqueta clipes BVBA na aba do bolso cargo direito, couro BVBA na cintura traseira, etiqueta emborrachada com logo BVBA na lateral esquerda e logo gato BVBA costurado nos dois bolsos traseiros. Coleção AW 2026.",BVBA-JRT-003-P,,,P,Preto,0.50,BVBA,Bermudas|AW 2026,aw2026|drop2|oversized,
JRT-003,Jorts Jeans Oversized Wide,,BVBA-JRT-003-M,,,M,Preto,0.54,BVBA,,,
JRT-003,Jorts Jeans Oversized Wide,,BVBA-JRT-003-G,,,G,Preto,0.58,BVBA,,,
JRT-003,Jorts Jeans Oversized Wide,,BVBA-JRT-003-GG,,,GG,Preto,0.62,BVBA,,,
JRT-003,Jorts Jeans Oversized Wide,,BVBA-JRT-003-XGG,,,XGG,Preto,0.66,BVBA,,,
CMS-004,Camiseta Oversized Boxy Off White,Camiseta de modelagem oversized boxy com drop shoulder. Estampa central no peito e estampa central nas costas. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.,BVBA-CMS-004-P,,,P,Off White,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
CMS-004,Camiseta Oversized Boxy Off White,,BVBA-CMS-004-M,,,M,Off White,0.33,BVBA,,,
CMS-004,Camiseta Oversized Boxy Off White,,BVBA-CMS-004-G,,,G,Off White,0.36,BVBA,,,
CMS-004,Camiseta Oversized Boxy Off White,,BVBA-CMS-004-GG,,,GG,Off White,0.40,BVBA,,,
CMS-004,Camiseta Oversized Boxy Off White,,BVBA-CMS-004-XGG,,,XGG,Off White,0.44,BVBA,,,
CMS-005,Camiseta Oversized Boxy Azul Escuro,Camiseta de modelagem oversized boxy com drop shoulder. Estampa central no peito. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.,BVBA-CMS-005-P,,,P,Azul Escuro,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
CMS-005,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-005-M,,,M,Azul Escuro,0.33,BVBA,,,
CMS-005,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-005-G,,,G,Azul Escuro,0.36,BVBA,,,
CMS-005,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-005-GG,,,GG,Azul Escuro,0.40,BVBA,,,
CMS-005,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-005-XGG,,,XGG,Azul Escuro,0.44,BVBA,,,
CMS-006,Camiseta Oversized Boxy Azul Escuro,Camiseta de modelagem oversized boxy com drop shoulder. Estampa central no peito (15 cm) e estampa central nas costas. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.,BVBA-CMS-006-P,,,P,Azul Escuro,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
CMS-006,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-006-M,,,M,Azul Escuro,0.33,BVBA,,,
CMS-006,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-006-G,,,G,Azul Escuro,0.36,BVBA,,,
CMS-006,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-006-GG,,,GG,Azul Escuro,0.40,BVBA,,,
CMS-006,Camiseta Oversized Boxy Azul Escuro,,BVBA-CMS-006-XGG,,,XGG,Azul Escuro,0.44,BVBA,,,
CMS-007,Camiseta Oversized Boxy Marrom Claro,Camiseta de modelagem oversized boxy com drop shoulder. Estampa central no peito (15 cm) e estampa central nas costas. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.,BVBA-CMS-007-P,,,P,Marrom Claro,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
CMS-007,Camiseta Oversized Boxy Marrom Claro,,BVBA-CMS-007-M,,,M,Marrom Claro,0.33,BVBA,,,
CMS-007,Camiseta Oversized Boxy Marrom Claro,,BVBA-CMS-007-G,,,G,Marrom Claro,0.36,BVBA,,,
CMS-007,Camiseta Oversized Boxy Marrom Claro,,BVBA-CMS-007-GG,,,GG,Marrom Claro,0.40,BVBA,,,
CMS-007,Camiseta Oversized Boxy Marrom Claro,,BVBA-CMS-007-XGG,,,XGG,Marrom Claro,0.44,BVBA,,,
CMS-008,Camiseta Oversized Boxy Cinza Chumbo,Camiseta de modelagem oversized boxy com drop shoulder. Estampa central no peito (15 cm) e estampa central nas costas. Etiqueta interna de tamanho BVBA e etiqueta clipes BVBA na manga esquerda. Coleção AW 2026.,BVBA-CMS-008-P,,,P,Cinza Chumbo,0.30,BVBA,Camisetas|AW 2026,aw2026|drop2|oversized,
